diary_no,Judgement_type,case_no,pet,res,pet_adv,res_adv,bench,judgement_by,judgment_dates,temp_link
8430-2020,J,C.A. No.-000012-000012 - 2021,RAJEEV SURI,UNION OF INDIA,SHIV KUMAR SURI,,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE DINESH MAHESHWARI, HON'BLE MR. JUSTICE SANJIV KHANNA",HON'BLE MR. JUSTICE A.M. KHANWILKAR,05-01-2021,supremecourt/2020/8430/8430_2020_34_1501_25340_Judgement_05-Jan-2021.pdf
8469-2020,J,C.A. No.-005743-005744 - 2021,RAJASTHAN RAJYA VIDYUT PRASARAN NIGAM LIMITED,ANIL KANWARIYA,SANDEEP KUMAR JHA,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,17-09-2021,supremecourt/2020/8469/8469_2020_43_1501_30132_Judgement_17-Sep-2021.pdf
8504-2020,J,Crl.A. No.-001665-001665 - 2021,GOVINDAN,STATE REPRESENTED BY THE DEPUTY SUPERINTENDENT OF POLICE,M.P. PARTHIBAN,,"HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE R. SUBHASH REDDY,17-12-2021,supremecourt/2020/8504/8504_2020_42_1501_32215_Judgement_17-Dec-2021.pdf
8507-2021,J,Crl.A. No.-001551-001551 - 2021,LAXMAN PRASAD PANDEY,THE STATE OF UTTAR PRADESH,SAKSHI KAKKAR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE THE CHIEF JUSTICE,11-12-2021,supremecourt/2021/8507/8507_2021_34_1501_32022_Judgement_11-Dec-2021.pdf
8524-2020,J,Crl.A. No.-000407-000407 - 2021,THE STATE OF RAJASTHAN,ASHOK KUMAR KASHYAP,MILIND KUMAR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,13-04-2021,supremecourt/2020/8524/8524_2020_36_1501_27516_Judgement_13-Apr-2021.pdf
8683-2015,J,C.A. No.-006336-006336 - 2021,RASHID WALI BEG,FARID PINDARI,PRADEEP MISRA,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN,28-10-2021,supremecourt/2015/8683/8683_2015_11_1501_30909_Judgement_28-Oct-2021.pdf
8777-2019,J,C.A. No.-005810-005810 - 2021,RAM MANOHAR LOHIA JOINT HOSPITAL,MUNNA PRASAD SAINI,VISHNU SHANKAR JAIN,,"HON'BLE MR. JUSTICE SANJIV KHANNA, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE MR. JUSTICE SANJIV KHANNA,20-09-2021,supremecourt/2019/8777/8777_2019_47_1501_30176_Judgement_20-Sep-2021.pdf
8803-2019,J,C.A. No.-007651-007652 - 2021,COMMISSIONER RAJASTHAN HOUSING BOARD,HIRALAL CHANDA,PRAVEEN SWARUP,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA",,11-12-2021,supremecourt/2019/8803/8803_2019_34_14_32022_Order_11-Dec-2021.pdf
8824-2017,J,C.A. No.-005696-005696 - 2021,SUBHRANSU SARKAR,INDRANI SARKAR (NEE DAS),KUNAL CHATTERJI,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE L. NAGESWARA RAO,14-09-2021,supremecourt/2017/8824/8824_2017_35_1501_30049_Judgement_14-Sep-2021.pdf
8911-2016,J,C.A. No.-002328-002328 - 2021,BANK EMPLOYEES UNION,"RAJARSHI SHAHU GOVT. SERVANTS CO-OPERATIVE BANK LTD., KOLHAPUR",APARNA BHAT,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE B.R. GAVAI",,06-07-2021,supremecourt/2016/8911/8911_2016_32_10_28267_Order_06-Jul-2021.pdf
8976-2019,J,Crl.A. No.-000024-000024 - 2021,MURALI,STATE REP BY ITS INSPECTOR OF POLICE,K. PAARI VENDHAN,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE THE CHIEF JUSTICE,05-01-2021,supremecourt/2019/8976/8976_2019_32_19_25229_Judgement_05-Jan-2021.pdf
9031-2021,J,C.A. No.-005059-005059 - 2021,SAU. SANGEETA,THE STATE OF MAHARASHTRA,SUNIL KUMAR VERMA,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE B.R. GAVAI,01-09-2021,supremecourt/2021/9031/9031_2021_35_1503_29713_Judgement_01-Sep-2021.pdf
9036-2018,J,Crl.A. No.-000261-000261 - 2021,SATPAL,THE STATE OF HARYANA  SECRETARY HOME,NANITA SHARMA,,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE R. SUBHASH REDDY",HON'BLE MR. JUSTICE ASHOK BHUSHAN,03-03-2021,supremecourt/2018/9036/9036_2018_37_1501_26627_Judgement_03-Mar-2021.pdf
9117-2020,J,Crl.A. No.-000231-000232 - 2021,THE STATE REPRESENTED BY THE DEPUTY SUPERINTENDENT OF POLICE,TR. N. SEENIVASAGAN,M. YOGESH KANNA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,01-03-2021,supremecourt/2020/9117/9117_2020_36_4_26554_Judgement_01-Mar-2021.pdf
9171-2021,J,C.A. No.-002231 - 2021,M/S ORATOR MARKETING PVT. LTD.,M/S SAMTEX DESINZ PVT. LTD.,LZAFEER AHMAD B. F.,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MS. JUSTICE INDIRA BANERJEE,26-07-2021,supremecourt/2021/9171/9171_2021_40_30_28762_Judgement_26-Jul-2021.pdf
9222-2009,J,C.A. No.-002567-002567 - 2017,M.R.VINODA,M.S.SUSHEELAMMA(D) BY LRS..,K. V. BHARATHI UPADHYAYA,E. C. VIDYA SAGAR,"HON'BLE MR. JUSTICE SANJIV KHANNA, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE MR. JUSTICE SANJIV KHANNA,13-12-2021,supremecourt/2009/9222/9222_2009_46_1501_32097_Judgement_13-Dec-2021.pdf
9233-2010,J,Crl.A. No.-000770-000770 - 2010,UMA SHANKER SHARMA,THE REGISTRAR GENERAL HONBLE HIGH COURT OF JUDICATURE AT ALLAHABAD,,,HON'BLE MRS. JUSTICE B.V. NAGARATHNA,HON'BLE MRS. JUSTICE B.V. NAGARATHNA,20-10-2021,supremecourt/2010/9233/9233_2010_34_67_30720_Judgement_20-Oct-2021.pdf
9247-2021,J,C.A. No.-005926-005926 - 2021,SATYA PRAKASH DWIVEDI,MUNNA ALIES CHANDRABHAN YADAV,DEEPAK GOEL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",,17-09-2021,supremecourt/2021/9247/9247_2021_34_41_30121_Order_17-Sep-2021.pdf
9485-2020,J,Crl.A. No.-001374-001374 - 2021,ALI AHMAD,THE STATE OF BIHAR,FAUZIA SHAKIL,,"HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE PAMIDIGHANTAM SRI NARASIMHA",,12-11-2021,supremecourt/2020/9485/9485_2020_40_26_31197_Order_12-Nov-2021.pdf
9546-2021,J,W.P.(C) No.-000446 - 2021,SRI SAI RR INSTITUTE OF PHARMACY,DR. A.P.J. ABDUL KALAM TECHNICAL UNIVERSITY,AJIT SHARMA,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE B.R. GAVAI,06-07-2021,supremecourt/2021/9546/9546_2021_32_1501_28267_Judgement_06-Jul-2021.pdf
9559-2020,J,C.A. No.-003776 - 2020,DHRUVA ENTERPRISES,C. SRINIVASULU,VISHAL ARUN,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE MR. JUSTICE B.R. GAVAI,15-09-2021,supremecourt/2020/9559/9559_2020_5_1501_30153_Judgement_15-Sep-2021.pdf
9608-2019,J,Crl.A. No.-001628-001628 - 2021,MIRZA IQBAL @ GOLU,THE STATE OF UTTAR PRADESH,FUZAIL AHMAD AYYUBI,,"HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE R. SUBHASH REDDY,14-12-2021,supremecourt/2019/9608/9608_2019_12_1503_32116_Judgement_14-Dec-2021.pdf
9610-2019,J,C.A. No.-008143-008144 - 2022,THE EMPLOYEES PROVIDENT FUND ORGANISATION,SUNIL KUMAR B,,,"HON'BLE MR. JUSTICE ANIRUDDHA BOSE, HON'BLE MR. JUSTICE VIKRAM NATH",HON'BLE THE CHIEF JUSTICE,24-08-2021,supremecourt/2019/9610/9610_2019_32_1_29504_Judgement_24-Aug-2021.pdf
9620-2020,J,Crl.A. No.-000317-000317 - 2021,AMINUDDIN,THE STATE OF UTTAR PRADESH,ANILENDRA PANDEY,SHASHANK SHEKHAR SINGH,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",,15-03-2021,supremecourt/2020/9620/9620_2020_36_22_26964_Order_15-Mar-2021.pdf
9631-2020,J,SMW(Crl) No.-000002 - 2020,IN RE EXPEDITIOUS TRIAL OF CASES UNDER SECTION 138 OF N.I. ACT 1881,,BY COURTS MOTION,,,HON'BLE THE CHIEF JUSTICE,16-04-2021,supremecourt/2020/9631/9631_2020_31_501_27616_Judgement_16-Apr-2021.pdf
9660-2020,J,C.A. No.-000821-000821 - 2021,UNION PUBLIC SERVICE COMMISSION,BIBHU PRASAD SARANGI,LALITA KAUSHIK,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,05-03-2021,supremecourt/2020/9660/9660_2020_36_5_26705_Judgement_05-Mar-2021.pdf
9720-2019,J,Crl.A. No.-001170-001170 - 2021,THE STATE OF JAMMU AND KASHMIR,DR. SALEEM UR REHMAN,,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,29-10-2021,supremecourt/2019/9720/9720_2019_43_1501_30982_Judgement_29-Oct-2021.pdf
9787-2021,J,C.A. No.-004476-004477 - 2021,M/S ACME CLEANTECH SOLUTIONS PRIVATE LIMITED,M/S UNITED INDIA INSURANCE COMPANY LIMITED,MOHIT D. RAM,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MR. JUSTICE VIKRAM NATH",HON'BLE THE CHIEF JUSTICE,09-12-2021,supremecourt/2021/9787/9787_2021_4_8_31946_Judgement_09-Dec-2021.pdf
9815-2019,J,C.A. No.-004984-004985 - 2021,SIVASANKARAN,SANTHIMEENAL,S. GOWTHAMAN,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE M.M. SUNDRESH",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,13-09-2021,supremecourt/2019/9815/9815_2019_35_1501_29956_Judgement_13-Sep-2021.pdf
9845-2021,J,Crl.A. No.-001161-001162 - 2021,VIPAN KUMAR DHIR,THE STATE OF PUNJAB,S. S. NEHRA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MS. JUSTICE HIMA KOHLI",HON'BLE MR. JUSTICE SURYA KANT,04-10-2021,supremecourt/2021/9845/9845_2021_31_1501_30517_Judgement_04-Oct-2021.pdf
9928-2021,J,C.A. No.-001779 - 2021,BRIGADE ENTERPRISES LIMITED,ANIL KUMAR VIRMANI,SARVESH SINGH BAGHEL,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN,17-12-2021,supremecourt/2021/9928/9928_2021_41_1501_32214_Judgement_17-Dec-2021.pdf
9999-2017,J,SMW(Crl) No.-000001-000001 - 2017,IN RE: TO ISSUE CERTAIN GUIDELINES REGARDING INADEQUACIES AND DEFICIENCIES IN CRIMINAL TRIALS,THE STATE OF ANDHRA PRADESH,BY COURTS MOTION,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE THE CHIEF JUSTICE,20-04-2021,supremecourt/2017/9999/9999_2017_31_1504_27750_Judgement_20-Apr-2021.pdf
10032-2018,J,Crl.A. No.-000680-000680 - 2021,M/S. SUPREME BHIWANDI WADA MANOR INFRASTRUCTURE PVT. LTD.,THE STATE OF MAHARASHTRA,JAIKRITI S. JADEJA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,26-07-2021,supremecourt/2018/10032/10032_2018_35_1501_28757_Judgement_26-Jul-2021.pdf
10061-2010,J,C.A. No.-008215-008216 - 2011,NATIONAL GANDHI MUSEUM,SUDHIR SHARMA,JATIN ZAVERI,SUMIT KUMAR,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,24-09-2021,supremecourt/2010/10061/10061_2010_44_1501_30301_Judgement_24-Sep-2021.pdf
10181-2019,J,C.A. No.-007919-007919 - 2021,GEETA MISHRA,SIDHO KANHU MURMU UNIVERSITY,SAMEER KUMAR,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE J.K. MAHESHWARI",,16-11-2021,supremecourt/2019/10181/10181_2019_8_1_31346_Order_16-Nov-2021.pdf
10328-2021,J,C.A. No.-004555-004559 - 2021,NEERAJ GARG,SARITA RANI,RAHUL PRATAP,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,02-08-2021,supremecourt/2021/10328/10328_2021_37_1501_28962_Judgement_02-Aug-2021.pdf
10354-2020,J,Crl.A. No.-001051-001054 - 2021,NASIB SINGH,THE STATE OF PUNJAB,CHRISTI JAIN,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE THE CHIEF JUSTICE,08-10-2021,supremecourt/2020/10354/10354_2020_34_1503_30692_Judgement_08-Oct-2021.pdf
10376-2021,J,C.A. No.-004936-004937 - 2021,SEPCO ELECTRIC POWER CONSTRUCTION CORPORATION,POWER MECH PROJECTS LTD.,PAI AMIT,,,HON'BLE MS. JUSTICE INDIRA BANERJEE,24-08-2021,supremecourt/2021/10376/10376_2021_38_1501_29510_Judgement_24-Aug-2021.pdf
10410-2021,J,SLP(C) No.-010751 - 2021,ARUNODAY SINGH,LEE ANNE ELTON,NAVIN PRAKASH,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MS. JUSTICE INDIRA BANERJEE,23-07-2021,supremecourt/2021/10410/10410_2021_39_10_28717_Judgement_23-Jul-2021.pdf
10528-2019,J,C.A. No.-000013-000013 - 2021,THE CHAIRPERSON GOVERNING BODY DAULAT RAM COLLEGE,DR. ASHA,SATYA MITRA,,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE ASHOK BHUSHAN,05-01-2021,supremecourt/2019/10528/10528_2019_36_1501_25235_Judgement_05-Jan-2021.pdf
10529-2013,J,C.A. No.-011477-011477 - 2014,MAHINDRA AND MAHINDRA FINANCIAL SERVIES LTD.,MAHESHBHAI TINABHAI RATHOD,MERUSAGAR SAMANTARAY,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MS. JUSTICE HIMA KOHLI",HON'BLE MR. JUSTICE A.S. BOPANNA,16-12-2021,supremecourt/2013/10529/10529_2013_1_102_32250_Judgement_16-Dec-2021.pdf
10532-2019,J,T.P.(C) No.-000640 - 2019,SUPREME COURT MIDDLE INCOME GROUP  LEGAL AID SOCIETY,VIDYASAGAR,APARNA BHAT,,HON'BLE MR. JUSTICE ABHAY S. OKA,HON'BLE MR. JUSTICE ABHAY S. OKA,03-12-2021,supremecourt/2019/10532/10532_2019_44_47_31807_Judgement_03-Dec-2021.pdf
10547-2021,J,Crl.A. No.-000883-000883 - 2021,HARJIT SINGH,INDERPREET SINGH @ INDER,SUBHASISH BHOWMICK,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE M.R. SHAH,24-08-2021,supremecourt/2021/10547/10547_2021_34_1502_29489_Judgement_24-Aug-2021.pdf
10549-2020,J,C.A. No.-007545-007545 - 2021,SRI LANKAPPA,KARNATAKA INDUSTRIAL CORPORATION,LAWYER S KNIT & CO,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,08-12-2021,supremecourt/2020/10549/10549_2020_2_1502_32062_Judgement_08-Dec-2021.pdf
10571-2010,J,Crl.A. No.-000849-000850 - 2011,TRIYAMBAK S.HEGDE,SRIPAD,RAUF RAHIM,ANJANA CHANDRASHEKAR,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE A.S. BOPANNA,23-09-2021,supremecourt/2010/10571/10571_2010_13_1503_30224_Judgement_23-Sep-2021.pdf
10593-2021,J,- 0,ASHA RAM(D) TH. LRS,U.P. AWAS EVAM VIKASH PARISHAD,HIREN DASAN,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE THE CHIEF JUSTICE,08-12-2021,supremecourt/2021/10593/10593_2021_2_1002_31872_Judgement_08-Dec-2021.pdf
10651-2021,J,MA-000665 - 2021,IN RE COGNIZANCE FOR EXTENSION OF LIMITATION,XXXX,ABHINAV RAMKRISHNA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE SURYA KANT",HON'BLE THE CHIEF JUSTICE,23-09-2021,supremecourt/2021/10651/10651_2021_31_301_30354_Judgement_23-Sep-2021.pdf
10688-2021,J,W.P.(C) No.-000502 - 2021,MADRAS BAR ASSOCIATION,UNION OF INDIA,T. V. S. RAGHAVENDRA SREYAS,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE L. NAGESWARA RAO,14-07-2021,supremecourt/2021/10688/10688_2021_36_1501_28573_Judgement_14-Jul-2021.pdf
10696-2021,J,T.P.(C) No.-000924 - 2021,POOJA HEMANI @ NAMRATA HEMDEV,MANISH HEMDEV,ANINDITA MITRA,,HON'BLE MR. JUSTICE S. RAVINDRA BHAT,HON'BLE MR. JUSTICE S. RAVINDRA BHAT,04-10-2021,supremecourt/2021/10696/10696_2021_32_35_30535_Judgement_04-Oct-2021.pdf
10748-2018,J,T.P.(C) No.-001634 - 2018,D. RAJA RAJESWARI,R. SATHISH KUMAR,ASWATHI M.K.,,HON'BLE MR. JUSTICE ABHAY S. OKA,HON'BLE MR. JUSTICE ABHAY S. OKA,27-09-2021,supremecourt/2018/10748/10748_2018_44_58_30358_Judgement_27-Sep-2021.pdf
10770-2014,J,C.A. No.-002851-002851 - 2015,ISMAILBHAI I. KANSARA(D) TH. LR,"STATE OF GUJARAT, THROUGH THE CHIEF SECRETARY",RAUF RAHIM,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE HEMANT GUPTA",HON'BLE MR. JUSTICE HEMANT GUPTA,13-07-2021,supremecourt/2014/10770/10770_2014_37_104_28469_Judgement_13-Jul-2021.pdf
10780-2009,J,C.A. No.-004270-004270 - 2010,MURTHY,C.SARADAMBAL,V. G. PRAGASAM,K. K. MANI,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE MRS. JUSTICE B.V. NAGARATHNA,10-12-2021,supremecourt/2009/10780/10780_2009_43_1502_32012_Judgement_10-Dec-2021.pdf
10785-2018,J,C.A. No.-002899-002899 - 2021,JHARKHAND URJA VIKAS NIGAM LIMITED,THE STATE OF RAJASTHAN,ANUP KUMAR,,"HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE R. SUBHASH REDDY,15-12-2021,supremecourt/2018/10785/10785_2018_12_1501_32117_Judgement_15-Dec-2021.pdf
10787-2020,J,SMW(C) No.-000003 - 2020,IN RE COGNIZANCE FOR EXTENSION OF LIMITATION,,BY COURTS MOTION,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE THE CHIEF JUSTICE,08-03-2021,supremecourt/2020/10787/10787_2020_31_1501_26732_Judgement_08-Mar-2021.pdf
10804-2015,J,C.A. No.-004726-004726 - 2021,NARAYAN DEORAO JAVLE (DECEASED ) THROUGH LRS.,KRISHNA,ANAGHA S. DESAI,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE HEMANT GUPTA,17-08-2021,supremecourt/2015/10804/10804_2015_42_1502_29369_Judgement_17-Aug-2021.pdf
10825-2020,J,Crl.A. No.-001113-001113 - 2021,HIGH COURT OF JUDICATURE FOR RAJASTHAN,THE STATE OF RAJASTHAN,GOPAL JHA,,HON'BLE MR. JUSTICE ANIRUDDHA BOSE,HON'BLE MR. JUSTICE ANIRUDDHA BOSE,29-09-2021,supremecourt/2020/10825/10825_2020_9_1501_30557_Judgement_29-Sep-2021.pdf
11001-2021,J,SMW(C) No.-000003 - 2021,IN RE : DISTRIBUTION OF ESSENTIAL SUPPLIES AND SERVICES DURING PANDEMIC,,BY COURTS MOTION,,,HON'BLE THE CHIEF JUSTICE,31-05-2021,supremecourt/2021/11001/11001_2021_35_301_28040_Judgement_31-May-2021.pdf
11001-2021,J,SMW(C) No.-000003 - 2021,IN RE : DISTRIBUTION OF ESSENTIAL SUPPLIES AND SERVICES DURING PANDEMIC,,BY COURTS MOTION,,,HON'BLE THE CHIEF JUSTICE,31-05-2021,supremecourt/2021/11001/11001_2021_35_301_27825_Judgement_30-Apr-2021.pdf
11078-2010,J,C.A. No.-002066-002066 - 2012,BALASUBRAMANIAM,M.AROKIASAMY (DEAD) THR. LRS.,NISHE RAJEN SHONKER,VIJAY KUMAR,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE A.S. BOPANNA,02-09-2021,supremecourt/2010/11078/11078_2010_31_1501_29774_Judgement_02-Sep-2021.pdf
11081-2019,J,Crl.A. No.-000940-000941 - 2021,GUMANSINH @ LALO @ RAJU BHIKHABHAI CHAUHAN,THE STATE OF GUJARAT,EJAZ MAQBOOL,,"HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE KRISHNA MURARI",HON'BLE MR. JUSTICE KRISHNA MURARI,03-09-2021,supremecourt/2019/11081/11081_2019_37_1501_29764_Judgement_03-Sep-2021.pdf
11126-2010,J,C.A. No.-010827-010827 - 2010,MANGALA WAMAN KARANDIKAR(D) TR.LRS.,PRAKASH DAMODAAR RANADE,ABHA R. SHARMA,ANAND DILIP LANDGE,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT",HON'BLE THE CHIEF JUSTICE,07-05-2021,supremecourt/2010/11126/11126_2010_31_1501_28001_Judgement_07-May-2021.pdf
11135-2011,J,Crl.A. No.-000572-000572 - 2012,KULJIT SINGH,THE STATE OF PUNJAB,ANIL KUMAR TANDALE,JASPREET GOGIA,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MS. JUSTICE HIMA KOHLI",HON'BLE MR. JUSTICE A.S. BOPANNA,08-12-2021,supremecourt/2011/11135/11135_2011_1_1502_31895_Judgement_08-Dec-2021.pdf
11162-2020,J,W.P.(C) No.-000476 - 2020,SMALL SCALE INDUSTRIAL MANUFACTURES ASSOCIATION (REGD.),UNION OF INDIA,GAURAV SHARMA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE SANJIV KHANNA",HON'BLE MR. JUSTICE M.R. SHAH,23-03-2021,supremecourt/2020/11162/11162_2020_35_1501_27212_Judgement_23-Mar-2021.pdf
11172-2010,J,C.A. No.-003135-003135 - 2011,TRANSPORT CORP.OF INDIA LTD. SANTNU PATRA MANAGER LEGAL,EMPLOYEE STATE INSURANCE CORP.. DEPUTY REGIONAL DIRECTOR,SHALLY BHASIN,PRAVEENA GAUTAM,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,29-10-2021,supremecourt/2010/11172/11172_2010_44_1501_30983_Judgement_29-Oct-2021.pdf
11182-2021,J,W.P.(C) No.-000518 - 2021,DEVENDRA PATHAK SARVODAYA COLLEGE OF EDUCATION,NATIONAL COUNCIL FOR TEACHER EDUCATION,NEERAJ SHEKHAR,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE B.R. GAVAI,11-08-2021,supremecourt/2021/11182/11182_2021_32_1502_29166_Judgement_11-Aug-2021.pdf
11190-2013,J,C.A. No.-006149-006149 - 2015,KIRAN DEVI,BIHAR STATE SUNNI WAKF BOARD,SHANTANU SAGAR,,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE HEMANT GUPTA",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,05-04-2021,supremecourt/2013/11190/11190_2013_39_1501_27289_Judgement_05-Apr-2021.pdf
11286-2021,J,C.A. No.-001700 - 2021,INDIA RESURGENCE ARC PRIVATE LIMITED,M/S. AMIT METALIKS LIMITED,SUDHANSU PALO,,"HON'BLE MR. JUSTICE VINEET SARAN, HON'BLE MR. JUSTICE DINESH MAHESHWARI",HON'BLE MR. JUSTICE VINEET SARAN,13-05-2021,supremecourt/2021/11286/11286_2021_40_10_28018_Judgement_13-May-2021.pdf
