diary_no,Judgement_type,case_no,pet,res,pet_adv,res_adv,bench,judgement_by,judgment_dates,temp_link
23273-2021,J,C.A. No.-006289-006289 - 2021,VAIBHAVI ENTERPRISE,NOBEL CERA COAT,SANTOSH KRISHNAN,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,21-10-2021,supremecourt/2021/23273/23273_2021_13_1503_30801_Judgement_21-Oct-2021.pdf
23322-2020,J,Crl.A. No.-000787-000787 - 2021,KAPTAN SINGH,THE STATE OF UTTAR PRADESH,SANTOSH KUMAR PANDEY,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,13-08-2021,supremecourt/2020/23322/23322_2020_34_1501_29269_Judgement_13-Aug-2021.pdf
23411-2009,J,C.A. No.-005759-005759 - 2009,SGS INDIA LTD.,DOLPHIN INTERNATIONAL LTD.,RAJAN NARAIN,P. I. JOSE,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE HEMANT GUPTA,06-10-2021,supremecourt/2009/23411/23411_2009_11_1501_30614_Judgement_06-Oct-2021.pdf
23415-2020,J,C.A. No.-003661-003662 - 2020,THE STATE OF BIHAR,PAWAN KUMAR,AZMAT HAYAT AMANULLAH,,,HON'BLE MR. JUSTICE B.R. GAVAI,10-11-2021,supremecourt/2020/23415/23415_2020_5_1501_31170_Judgement_10-Nov-2021.pdf
23445-2020,J,C.A. No.-003665-003666 - 2020,NGAITLANG DHAR,PANNA PRAGATI INFRASTUCTURE PRIVATE LIMITED,RAVINDRA SADANAND CHINGALE,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE B.R. GAVAI,17-12-2021,supremecourt/2020/23445/23445_2020_35_1502_32207_Judgement_17-Dec-2021.pdf
23573-2019,J,C.A. No.-009273 - 2019,BANGALORE ELECTRICITY SUPPLY COMPANY LIMITED (BESCOM),ES SOLAR PRIVATE LIMITED,BALAJI SRINIVASAN,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE VINEET SARAN",HON'BLE MR. JUSTICE L. NAGESWARA RAO,03-05-2021,supremecourt/2019/23573/23573_2019_36_1501_27907_Judgement_03-May-2021.pdf
23618-2019,J,C.A. No.-003123-003123 - 2020,JAISHRI LAXMANRAO PATIL,THE CHIEF MINISTER AND ORS.,RAJ SINGH RANA,,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE ASHOK BHUSHAN,05-05-2021,supremecourt/2019/23618/23618_2019_35_1501_27992_Judgement_05-May-2021.pdf
23659-2017,J,C.A. No.-006901-006901 - 2021,THE STATE OF HARYANA,SHALIMAR ESTATES PVT. LTD,VISHWA PAL SINGH,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN,16-11-2021,supremecourt/2017/23659/23659_2017_11_10_31349_Judgement_16-Nov-2021.pdf
23663-2020,J,C.A. No.-000975-000975 - 2021,SANJIV PRAKASH,SEEMA KUKREJA,E. C. AGRAWALA,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,06-04-2021,supremecourt/2020/23663/23663_2020_33_1502_27307_Judgement_06-Apr-2021.pdf
23704-2021,J,C.A. No.-006553 - 2021,GPR POWER SOLUTIONS PVT. LTD.,SUPRIYO CHAUDHURI,SUMIT KUMAR,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE J.K. MAHESHWARI",HON'BLE MS. JUSTICE INDIRA BANERJEE,29-11-2021,supremecourt/2021/23704/23704_2021_38_42_31628_Judgement_29-Nov-2021.pdf
23778-2020,J,C.A. No.-000131-000131 - 2021,HARYANA SPACE APPLICATION CENTRE (HARSAC),M/S PAN INDIA CONSULTANTS PVT. LTD.,SANJAY KUMAR VISEN,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MS. JUSTICE INDU MALHOTRA",HON'BLE MS. JUSTICE INDU MALHOTRA,20-01-2021,supremecourt/2020/23778/23778_2020_38_1502_25605_Judgement_20-Jan-2021.pdf
23817-2020,J,C.A. No.-006522-006522 - 2021,AKSHAY N. PATEL,RESERVE BANK OF INDIA,PBA LEGAL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE THE CHIEF JUSTICE,06-12-2021,supremecourt/2020/23817/23817_2020_34_1501_31829_Judgement_06-Dec-2021.pdf
23926-2020,J,C.A. No.-003802-003803 - 2020,M/S N.N. GLOBAL MERCANTILE PRIVATE LIMITED,M/S INDO UNIQUE FLAME LTD.,RAMESHWAR PRASAD GOYAL,,"HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ANIRUDDHA BOSE, HON'BLE MR. JUSTICE HRISHIKESH ROY, HON'BLE MR. JUSTICE C.T. RAVIKUMAR",HON'BLE MR. JUSTICE L. NAGESWARA RAO,11-01-2021,supremecourt/2020/23926/23926_2020_38_1502_25365_Judgement_11-Jan-2021.pdf
23979-2017,J,C.A. No.-006875-006875 - 2021,REKHA BHARATI,THE STATE OF BIHAR,KUMAR DUSHYANT SINGH,,"HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE R. SUBHASH REDDY,15-11-2021,supremecourt/2017/23979/23979_2017_42_1502_31291_Judgement_15-Nov-2021.pdf
23993-2020,J,T.P.(C) No.-001255 - 2020,PRANJAL KOMAL PATIL,KOMAL DHANSINGH PATIL,BHABNA DAS,,HON'BLE MR. JUSTICE SANJIV KHANNA,HON'BLE MR. JUSTICE SANJIV KHANNA,09-12-2021,supremecourt/2020/23993/23993_2020_13_28_31994_Judgement_09-Dec-2021.pdf
24061-2019,J,C.A. No.-008228 - 2019,COMMISSIONER OF GST AND CENTRAL EXCISE,M/S CITIBANK N.A.,MUKESH KUMAR MARORIA,,,HON'BLE MR. JUSTICE K.M. JOSEPH,09-12-2021,supremecourt/2019/24061/24061_2019_10_1502_32101_Judgement_09-Dec-2021.pdf
24110-2020,J,C.A. No.-004810-004810 - 2021,UNION OF INDIA,VKC FOOTSTEPS INDIA PVT. LTD.,MUKESH KUMAR MARORIA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE THE CHIEF JUSTICE,13-09-2021,supremecourt/2020/24110/24110_2020_33_1502_29954_Judgement_13-Sep-2021.pdf
